Company,new_foreign_worker_count
Billings Clinic,8
THE UNIVERSITY OF MONTANA,6
"AON NATIONAL FLOOD SERVICES, INC.",5
DAMERON PROPERTY MGT,5
NORTHEAST MONTANA HEALTH SERVICES,4
BILLINGS CLINIC,4
MONTANA STATE UNIVERSITY,3
Red Lotus Inc.,3
Gardiner Market,2
"APPLIED MATERIALS, INC.",2
ZLC Inc,1
Clark Fork Valley Hospital,1
"ORACLE AMERICA, INC.",1
Benefis Health System,1
SUNTI WORLD ART LLC,1
"NARA ORIENTAL RESTAURANT, INC.",1
"HK ENTERPRISES, LLC",1
Highlands Veterinary Hospital,1
UNIVERSITY OF GREAT FALLS,1
"Standard Nutrition Services, LLC",1
SOUND INPATIENT PHYSICIANS,1
Big Sandy Medical Center,1
THREE B FARMS,1
"Elixiter, Inc.",1
FORT COURAGE CHILD CARE,1
MID-RIVERS COMMUNICATIONS,1
NORTHERN MONTANA HEALTH CARE,1
"Summit Resource International, LLC",1
ALLAN L CURRIE,1
