Company,new_foreign_worker_count
"HOUSE OF RAEFORD FARMS, INC.",367
"Defender Services, Inc.",366
CASE FARMS PROCESSING INC.,350
WAYNE FARMS LLC,148
HCL AMERICA INC.,127
FMR LLC,77
"CISCO SYSTEMS, INC.",71
MUY PIZZA SOUTHEAST LLC,55
BANK OF AMERICA,53
DB GLOBAL TECHNOLOGY,45
"LOWE'S COMPANIES, INC.",36
"INFOMERICA, INC",30
SAS INSTITUTE INC.,29
BELK INC,27
MURPHY BROWN LLC,25
"PHARMACEUTICAL PRODUCT DEVELOPMENT, LLC",24
"BRODIE CONTRACTORS, INC",22
"NETAPP, INC.",22
EMC CORPORATION,22
QUALCOMM TECHNOLOGIES INC.,22
WAKE FOREST UNIVERSITY HEALTH SCIENCES,22
UNITED MAINTENANCE CORPORATION,21
"Voyager Systems, Inc.",20
CLEAR THOUGHT SOLUTIONS LLC,20
KRONSYS INC,20
MICROSOFT CORPORATION,19
"QUINTILES, INC.",18
"AMERIFOODS ENTERPRISE, INC.",17
CREDIT SUISSE SECURITIES (USA) LLC,17
