Company,new_foreign_worker_count
NORTH DAKOTA STATE UNIVERSITY,13
SANFORD CLINIC NORTH,8
SANFORD BISMARCK,8
ALTRU HEALTH SYSTEM,8
INNOVIS HEALTH,7
MICROSOFT CORPORATION,5
UNIVERSITY OF NORTH DAKOTA,5
INFONERO INC,5
NORIDIAN MUTUAL INSURANCE COMPANY,4
CHI St. Alexius Health,4
MERCY MEDICAL CENTER,4
SANFORD MEDICAL CENTER FARGO,3
PRESENTATION MEDICAL CENTER,3
WEST RIVER HEALTH SERVICES,3
THRIFTY DRUG STORES INC.,3
McKenzie County Healthcare Systems,2
Noridian Mutual Insurance Company,2
Kevin Opp,2
MINOT STATE UNIVERSITY,2
CHI Mercy Hospital,2
Thunder Ranch and Chopping,2
William Marvin Ongstad Farm,2
LANGDON COMMUNITY DRUG,1
Williams County,1
MERCY HOSPITAL,1
"Aldevron, LLC",1
CH Trade LLC,1
"BEAVER CREEK ARCHAEOLOGY, INC.",1
CNH INDUSTRIAL AMERICA LLC,1
