Company,new_foreign_worker_count
FMR LLC,24
DATASERV INC,20
"KBACE TECHNOLOGIES, INC.",10
CAMP SYSTEMS INTERNATIONAL INC.,8
"ORACLE AMERICA, INC.",8
HIGHDATA SOFTWARE CORPORATION,8
"C&S WHOLESALE GROCERS, INC",7
CATHOLIC MEDICAL CENTER PHYSICIAN PRACTICE ASSOC.,7
DECISIONWAVE TECHNOLOGIES INC,7
LIBERTY MUTUAL GROUP INC.,6
DELL MARKETING LP,5
LRGHEALTHCARE,5
DEEBECON INC,5
DARTMOUTH-HITCHCOCK CLINIC,5
UNIVERSITY OF NEW HAMPSHIRE,5
ZENITH SOFTWARE INC.,4
JP MORGAN CHASE & CO,4
EMD MILLIPORE CORPORATION,3
"SymbioSys Solutions, Inc.",3
"INTEL MASSACHUSETTS, INC.",3
TEXAS INSTRUMENTS INCORPORATED,3
"FUJIFILM DIMATIX, INC.",3
proALPHA Software Corporation,3
Unique System Skills LLC,2
ERICSSON INC.,2
"NEWMARKET INTERNATIONAL, INC.",2
New Hampshire IPS Medical Services,2
SOUTHERN NEW HAMPSHIRE UNIVERSITY,2
"Parallel Wireless, Inc",2
