Company,new_foreign_worker_count
WIPRO LIMITED,847
"IGATE TECHNOLOGIES, INC.",594
HCL AMERICA INC.,259
"COMPUNNEL SOFTWARE GROUP, INC.",217
LARSEN & TOUBRO INFOTECH LIMITED,181
"HEXAWARE TECHNOLOGIES, INC.",105
Polaris consulting and services Ltd,95
"FIRST TEK, INC.",86
NATSOFT CORPORATION,82
"ORION SYSTEMS INTEGRATORS, LLC",71
3I INFOTECH INC.,71
"CYBERTHINK, INC.",70
KPIT INFOSYSTEMS INC.,64
INTONE NETWORKS INC,62
MINDTREE LIMITED,62
"FUSION PLUS SOLUTIONS, INC",56
"VEDICSOFT SOLUTIONS, LLC.",56
L&T TECHNOLOGY SERVICES LIMITED,54
BIRLASOFT INC,54
DIVERSANT LLC,53
JP MORGAN CHASE & CO,51
SYNECHRON,47
ORACLE FINANCIAL SERVICES SOFTWARE INC.,47
IT AMERICA INC,46
SIRI INFOSOLUTIONS INC,45
KSOFT SYSTEMS INC,44
"MARLABS, INC",43
MERRILL LYNCH,40
"CENTRAPRISE, CORP",40
