Company,new_foreign_worker_count
GALLUP MCKINLEY COUNTY SCHOOLS,45
SPERIDIAN TECHNOLOGIES A.K.A KARMA CONSULTING SVC,31
ZUNI PUBLIC SCHOOL DISTRICT,16
CENTRAL CONSOLIDATED SCHOOL DISTRICT,15
"APOGEE MEDICAL GROUP, NEW MEXICO, INC.",11
UNIVERSITY OF NEW MEXICO,10
PRESBYTERIAN HEALTHCARE SERVICES,10
NEW MEXICO STATE UNIVERSITY,9
MUY PIZZA LLC,8
DEMING PUBLIC SCHOOLS,7
ESPANOLA PUBLIC SCHOOLS,7
SAN JUAN ONCOLOGY ASSOCIATES,5
SANTA FE PUBLIC SCHOOLS,5
"United Supermarkets, L.L.C.",4
JEMEZ MOUNTAIN PUBLIC SCHOOLS,4
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,3
Sierra Vista Hospital,3
HAGERMAN MUNICIPAL SCHOOLS,3
RUIDOSO MUNICIPAL SCHOOL DISTRICT,2
INTEL CORPORATION,2
DULCE INDEPENDENT SCHOOL DISTRICT,2
SOUND INPATIENT PHYSICIANS,2
CIBOLA GENERAL HOSPITAL,2
"SOUTHERN MEDICAL PARTNERS, L.L.C.",2
Tamaki Control New Mexico LLC,2
McCurdy Charter School,2
CARLSBAD MEDICAL CENTER,2
MOSS ADAMS LLP,1
EASTERN NEW MEXICO UNIVERSITY,1
