Company,new_foreign_worker_count
"BALLY GAMING, INC.",13
"UNIVERSITY OF NEVADA, RENO",7
"UNIVERSITY OF NEVADA, LAS VEGAS",5
NEWMONT USA LIMITED,4
"IGT, INC.",4
NEVADA POWER COMPANY (DBA NV ENERGY,4
LAS VEGAS SANDS CORP.,4
ALLEGIANT TRAVEL COMPANY D/B/A ALLEGIANT AIR,3
"MGM RESORTS INTERNATIONAL OPERATIONS, INC.",3
Opus Tech Solutions LLC,3
Health Plan of Nevada Inc.,3
"ARISTOCRAT TECHNOLOGIES, INC.",3
FOGO DE CHAO (HOLDINGS) INC.,3
BOARD OF REGENTS NEVADA SYSTEM OF HIGHER EDUCATION,3
INTUIT,3
Petrochemical Automation & Integration Specialists,3
IBM CORPORATION,3
Smiles Today Dental Group LLC,2
"INPATIENT CONSULTANTS OF NEVADA, INC.",2
"ROBERT A BESSLER, MD, PLLC",2
Byk Corp.,2
Desert Sales Academy,2
lin law group PC,2
"ZAPPOS IP, INC.",2
"HEALTHCARE PARTNERS MEDICAL GROUP (COATS), LTD.",2
KRL SOLUTIONS INC,2
PAVERS BY PORTER,2
"DYNTEK SERVICES, INC.",2
"KABUKI RESTAURANTS,INC.",2
