Company,new_foreign_worker_count
BLOOMBERG L.P.,259
JP MORGAN CHASE & CO,195
IBM CORPORATION,185
GOOGLE INC.,167
MPHASIS CORPORATION,143
ERNST & YOUNG U.S. LLP,121
MORGAN STANLEY & CO. LLC,110
GOLDMAN SACHS & CO.,93
GLOBALFOUNDRIES U.S. INC.,87
PRICEWATERHOUSECOOPERS,81
CREDIT SUISSE SECURITIES (USA) LLC,79
BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,61
MERRILL LYNCH,60
DELOITTE & TOUCHE LLP,56
"X-TREME CARE, LLC",52
DELOITTE CONSULTING LLP,50
HEADSTRONG SERVICES LLC,49
BANK OF AMERICA,49
"FACEBOOK, INC.",47
"HSBC BANK USA, N.A.",44
VIRTUSA CORPORATION,43
CITIGROUP GLOBAL MARKETS INC.,37
"MCKINSEY & COMPANY, INC UNITED STATES",34
"CITIBANK, N.A",32
PricewaterhouseCoopers Advisory Services LLC,31
DEUTSCHE BANK,31
THOMSON REUTERS MARKETS LLC,30
BARCLAYS CAPITAL INC.,29
"SCIEGEN PHARMACEUTICALS, INC.",28
