Company,new_foreign_worker_count
KOCH FOODS OF CINCINNATI LLC,228
JP MORGAN CHASE & CO,86
"MUY HAMBURGER PARTNERS, LLC",56
"ERP ANALYSTS, INC",46
THE SHERWIN-WILLIAMS COMPANY,45
CLEVELAND CLINIC FOUNDATION,44
CARDINAL HEALTH,36
"INFORMATION CONTROL COMPANY, LLC",31
SOGETI USA LLC,31
"YASHCO SYSTEMS, INC.",30
DIZER CORP,29
"APOGEE MEDICAL GROUP, OHIO, INC.",22
NATIONWIDE INSURANCE,21
"FAST SWITCH, LTD.",21
THE HUNTINGTON NATIONAL BANK,19
DATA SYSTEMS INTEGRATION GROUP INC,19
"UNITED SOFTWARE GROUP, INC.",18
SIEMENS PLM SOFTWARE INC.,17
"POPULUS GROUP, LLC",17
DEVCARE SOLUTIONS,17
UNIVERSITY OF CINCINNATI,16
"GOKEN AMERICA, LLC",16
KENT STATE UNIVERSITY,16
AMERICAN BUSINESS SOLUTIONS INC.,16
DEEMSYS INC,16
THE CHEF'S GARDEN INC.,15
THE OHIO UNIVERSITY,15
THE OHIO STATE UNIVERSITY,15
MAST TECHNOLOGY SERVICES,14
