Company,new_foreign_worker_count
INTEL CORPORATION,889
"INTEL MOBILE COMMUNICATIONS, INC.",27
OREGON STATE UNIVERSITY,15
"NIKE, INC.",15
WHI Hotel LLC,15
LAM RESEARCH CORPORATION,8
"INTEL FEDERAL, INC.",8
PEACEHEALTH,8
UNIVERSITY OF OREGON,8
"TRIQUINT SEMICONDUCTOR, INC. (DBA QORVO)",7
MENTOR GRAPHICS CORPORATION,7
"SYNOPSYS, INC.",6
"APPLIED MATERIALS, INC.",6
NVIDIA CORPORATION,6
EBAY INC.,6
ADVANTAGE IT INC,5
"MAVENSOFT TECHNOLOGIES, LLC.",5
STANCORP FINANCIAL GROUP,5
"SOUTHERN OREGON HOSPITALISTS, PC",4
FOGO DE CHAO (HOLDINGS) INC.,4
PACIFICORP,4
"MCAFEE, INC",4
"HP ENTERPRISE SERVICES, LLC",4
SALESFORCE.COM,4
PORTLAND GENERAL ELECTRIC COMPANY,4
FEI COMPANY,3
OREGON HEALTH & SCIENCE UNIVERSITY,3
Rentrak Corporation,3
IXIA,3
