Company,new_foreign_worker_count
"CVS PHARMACY, INC.",72
FMR LLC,17
"CITIZENS FINANCIAL GROUP, INC.",11
DASSAULT SYSTEMES SIMULIA,8
LANDSCAPE CREATIONS OF RI,7
RHODE ISLAND COLLEGE,4
"COASTAL MEDICAL, INC.",3
"CAREMARK, L.L.C.",3
"SECUREWORKS, INC.",3
FM GLOBAL,3
UNIVERSITY OF RHODE ISLAND,3
PROVIDENCE COLLEGE,2
BROWN UNIVERSITY,2
ROGER WILLIAMS UNIVERSITY,2
Smart Management Inc.,2
ROMAN'S COMMERCIAL CLEANING & PROPERTY MANAGEMENT,2
SYSCONS CORPORATION,2
BUTLER HOSPITAL,2
"UNIVERSITY MEDICINE FOUNDATION, INC.",2
WINDMOELLER & HOELSCHER CORPORATION,2
"THE NEUROLOGY FOUNDATION, INC",1
Saint-Gobain Performance Plastics,1
CONTROL AUTOMATION GROUP,1
HASBRO MANAGERIAL SERVICES LLC,1
LIFTED PROPERTIES LLC,1
"Precision Engineered Products, LLC",1
"Genesis ElderCare Physician Services, LLC",1
"Nexgen Mortgage Solutions, LLC",1
Village Inn Recreation Partners Inc.,1
