Company,new_foreign_worker_count
SANFORD CLINIC,12
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,12
THE UNIVERSITY OF SOUTH DAKOTA,5
My3Tech Inc,4
SOUTH DAKOTA STATE UNIVERSITY,4
SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,3
"INTEGRITY ON-SITE, LLC",2
DAKOTA STATE UNIVERSITY,2
RIVERVIEW LLP,2
Painters Inc,2
Painter's Inc,2
"AFFIRM, INC.",1
NORTHERN STATE UNIVERSITY,1
"CITICORP CREDIT SERVICES, INC. (USA)",1
RAPID CITY REGIONAL HOSPITAL,1
BUSINESS RESOURCES LTD,1
AUGUSTANA UNIVERSITY,1
REGIONAL HEALTH PHYSICIANS,1
"RIVERVIEW HEALTH SERVICES, INC.",1
SCOTT A. HAMILTON,1
LAURIE MOE GOEHRING,1
"EMPI, INC.",1
"INFECTIOUS DISEASE SPECIALISTS, PC",1
"PREMIER Bankcard, LLC",1
AVERA ST. LUKE'S,1
State of South Dakota,1
Sioux Falls School District 49-5,1
