Company,new_foreign_worker_count
"Koch Foods, LLC",68
FEDEX CORPORATE SERVICES,29
CLEANERS OF AMERICA CORPORATION,27
KOCH FOODS LLC,23
HCA MANAGEMENT SERVICES LP,19
OZBURN-HESSEY LOGISTICS,18
SPARTAN SOLUTIONS INC.,16
"THE UNIVERSITY OF TENNESSEE, KNOXVILLE",15
VANDERBILT UNIVERSITY,14
SAI Technologies,13
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,13
JACKSON NATIONAL LIFE INSURANCE COMPANY,13
EASTMAN CHEMICAL COMPANY,13
TRACTOR SUPPLY COMPANY,13
BLUECROSS BLUESHIELD OF TENNESSEE,10
THE UNIVERSITY OF MEMPHIS,9
DAVITA INC.,9
"MEDHOST SERVICES, INC.",9
"CONCH TECHNOLOGIES, INC.",9
"BRIDGESTONE AMERICAS, INC.",8
"UNIQUE KEY RESOURCES,INC",8
EAST TENNESSEE STATE UNIVERSITY,8
ST JUDE CHILDREN'S RESEARCH HOSPITAL,7
INGRAM BOOK GROUP INC.,6
AUTOZONE,6
"SCHNEIDER ELECTRIC USA, INC.",6
SMITH & NEPHEW INC.,5
HEALTHSTREAM.INC.,5
"SL TENNESSEE, LLC.",5
