Company,new_foreign_worker_count
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,4256
INFOSYS LTD.,1181
"MUY PIZZA HOUSTON, LLC",320
"TECH MAHINDRA (AMERICAS) INC., (FORMERLY MBT INTERNATIONAL, INC.)",258
"MUY HAMBURGER PARTNERS, LLC",177
"NTT DATA, INC",168
TEXAS INSTRUMENTS INCORPORATED,140
"FUJITSU AMERICA, INC.",135
MUY PIZZA TEJAS LLC,129
ERICSSON INC.,115
DELOITTE CONSULTING LLP,110
INTEL CORPORATION,100
MUY PIZZA LLC,80
DELL MARKETING LP,75
NOKIA SOLUTIONS AND NETWORKS US LLC,72
DELL USA LP,67
"CAPITAL ONE SERVICES, LLC",66
"RACKSPACE US, INC.",59
HEWLETT-PACKARD COMPANY,55
"CISCO SYSTEMS, INC.",54
Thesa Restaurants Corp.,52
"FREESCALE SEMICONDUCTOR, INC.",51
HCL AMERICA INC.,49
INOVANT LLC,47
DELL PRODUCTS LP,43
"BUSINESS INTELLI SOLUTIONS, INC.",42
St. Juste Management Corp dba Goliad Foods Inc.,42
AMERICAN AIRLINES,42
DALLAS INDEPENDENT SCHOOL DISTRICT,42
