Company,new_foreign_worker_count
OVERSTOCK.COM,28
UNIVERSITY OF UTAH,26
GOLDMAN SACHS & CO.,22
ADOBE SYSTEMS INCORPORATED,21
"IM FLASH TECHNOLOGIES, LLC",16
ZIONS BANK / ZMSC,12
"ORACLE AMERICA, INC.",11
"FATPIPE TECHNOLOGIES, INC.",10
"CONNVERTEX TECHNOLOGIES, INC.",10
FMR LLC,7
ARUP LABORATORIES,5
FLSmidth USA Inc.,5
"NITYA SOFTWARE SOLUTIONS, INC",5
UTAH STATE UNIVERSITY,5
IHC HEALTH SERVICES INC,5
TOMAX CORPORATION,4
BOART LONGYEAR COMPANY,4
Acme Construction,4
"PROGREXION ASG, INC.",4
ANCESTRY.COM,3
EMC CORPORATION,3
"VERISK HEALTH, INC.",3
VIVINT INC,3
WEBER STATE UNIVERSITY,3
PROVO CITY SCHOOL DISTRICT,3
XACTWARE,3
ELBERTA VALLEY AG.,3
RIO TINTO SERVICES INC.,3
NORTH DAVIS PREPARATORY ACADEMY,3
