Company,new_foreign_worker_count
"GEORGE'S CHICKEN, LLC.",305
"CAPITAL ONE SERVICES, LLC",150
CGI TECHNOLOGIES AND SOLUTIONS INC.,134
MUY PIZZA SOUTHEAST LLC,104
"GEORGE'S FOODS, LLC.",61
MICROSTRATEGY INCORPORATED,58
"IDEXCEL, INC",51
CLEANERS OF AMERICA CORPORATION,41
"MICRON TECHNOLOGY, INC.",39
"HADIAMONDSTAR SOFTWARE SOLUTIONS, LLC",38
"USM BUSINESS SYSTEMS, INC",38
MERRIFIELD GARDEN CENTER,34
"Anthem, Inc.",34
DELOITTE CONSULTING LLP,33
UNIVERSITY OF VIRGINIA,30
"TECHNOGEN, INC",26
VISTA APPLIED SOLUTIONS GROUP INC,25
AMDOCS INC.,24
"SQA CONCEPTS, INC.",24
"AMERICAN INFOSYS,INC",24
CONCEPTS INFORMATION TECHNOLOGY INC,21
GLOBAL TECHNOLOGY ASSOCIATES LLC,21
"COMSCORE, INC.",21
MULTIVISION INC.,20
PROTEGE LLC,19
ANTRA INC,19
MICROSTRATEGY SERVICES CORPORATION,19
"REI SYSTEMS, INC.",19
EVOLENT HEALTH LLC,19
