Company,new_foreign_worker_count
MICROSOFT CORPORATION,3033
AMAZON CORPORATE LLC,1539
HCL AMERICA INC.,107
"EXPEDIA, INC.",99
GOOGLE INC.,84
"AMAZON WEB SERVICES, INC.",76
"FACEBOOK, INC.",76
LENORA SYSTEMS INC,41
UNIVERSITY OF WASHINGTON,38
STARBUCKS COFFEE COMPANY,38
INTEL CORPORATION,33
OSLO SOLUTIONS LLC,33
EBAY INC.,26
PEOPLE TECH GROUP INC,25
"NORDSTROM, INC.",24
APPLEXUS TECHNOLOGIES LLC,22
"EDIFECS, INC.",21
ADOBE SYSTEMS INCORPORATED,18
RAMP TECHNOLOGY  GROUP LLC,18
"VMWARE, INC.",17
"GROUPON, INC.",17
"ILINK SYSTEMS, INC.",17
"SERVICENOW, INC.",16
"T-MOBILE USA, INC.",16
DELOITTE CONSULTING LLP,16
ERICSSON INC.,16
TABLEAU SOFTWARE INC.,16
MINDTREE LIMITED,14
WASHINGTON STATE UNIVERSITY,14
