Company,new_foreign_worker_count
"ABBYLAND FOODS, INC",432
EPIC SYSTEMS CORPORATION,190
"EXPERIS US, INC.",77
"ISR INFO WAY,INC",25
"JOHNSON CONTROLS, INC",24
UNIVERSITY OF WISCONSIN-MADISON,23
SYMPHONY CORPORATION,19
C&E HEALTH CARE,15
FIS MANAGEMENT SERVICES LLC,12
MARSHFIELD CLINIC,12
"ROCKWELL AUTOMATION, INC.",11
MAYO CLINIC,10
MEDICAL COLLEGE OF WISCONSIN,9
KOHLER CO.,9
UNIVERSITY OF WISCONSIN - PLATTEVILLE,8
"AURORA MEDICAL GROUP, INC.",8
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,8
CHECKFREE SERVICES CORPORATION,7
KERRY INC.,7
MARQUETTE UNIVERSITY,7
GENOME INTERNATIONAL CORPORATION,7
BRUNSWICK CORPORATION,7
"Alivemind, Inc dba Liberty Tax Services",6
"ADAM INFORMATION TECHNOLOGIES, LLC",6
"BAY AREA MEDICAL CENTER, INC.",6
WISDOM INFOTECH,6
GENERAL ELECTRIC CO. (GE HEALTHCARE),6
HUMANA INSURANCE COMPANY,6
UNIVERSITY OF WISCONSIN-MILWAUKEE,6
