Company,new_foreign_worker_count
WEST VIRGINIA UNIVERSITY,33
"ST. MARY'S MEDICAL MANAGEMENT, LLC",9
MARSHALL UNIVERSITY,6
"WHEELING HOSPITAL, INC.",5
THS PHYSICIAN PARTNERS INC,4
"UNITED HOSPITAL CENTER, INC",4
Z&S INTERNATIONAL CUISINE INC,3
"CHARLESTON AREA MEDICAL CENTER, INC.",3
"MOUNTAIN EMERGENCY PHYSICIANS, LLP",3
AMERICAN PUBLIC UNIVERSITY SYSTEM,3
"RENAL CONSULTANTS, PLLC",2
MYLAN PHARMACEUTICALS INC.,2
BEE WELL PHARMACY,1
"ULTIMATE HEALTH SERVICES, INC.",1
GENESIS REHABILITATION SERVICES,1
KANAWHA COUNTY SCHOOLS,1
"CONSTELLIUM ROLLED PRODUCTS RAVENSWOOD, LLC",1
SHASHA O CRUZ BUENO,1
"WEST VIRGINIA UNIVERSITY FOUNDATION, INC.",1
"CHARLES L. WYLIE, DDS",1
DANIELS COMPANY (WEST VIRGINIA) INC,1
OGAWA INC,1
"BE AEROSPACE, INC.",1
HOSPITALIST MEDICINE PHYSICIAN OF WEST VIRGINIA PL,1
"Modjeski and Masters, Inc.",1
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,1
Southern West Virginia Nephrology Associates,1
"Monongalia Health System, Inc.",1
"Cabell Huntington Hospital, Inc.",1
