State,applicants_count,FullStateName
CA,116023,California
TX,67602,Texas
NY,54579,New York
NJ,47992,New Jersey
IL,34774,Illinois
GA,24672,Georgia
MA,24518,Massachusetts
PA,23184,Pennsylvania
WA,22414,Washington
MI,20754,Michigan
FL,20408,Florida
VA,18710,Virginia
NC,18656,North Carolina
OH,16231,Ohio
MD,10630,Maryland
CT,9943,Connecticut
MN,9859,Minnesota
AZ,9630,Arizona
MO,7921,Missouri
WI,7003,Wisconsin
IN,6381,Indiana
CO,6297,Colorado
TN,5590,Tennessee
OR,4585,Oregon
DE,3503,Delaware
AR,3388,Arkansas
IA,2918,Iowa
SC,2908,South Carolina
UT,2761,Utah
KS,2743,Kansas
KY,2605,Kentucky
RI,2445,Rhode Island
LA,2137,Louisiana
AL,2044,Alabama
NE,2002,Nebraska
OK,1988,Oklahoma
NH,1893,New Hampshire
NV,1293,Nevada
NM,1023,New Mexico
ID,875,Idaho
MS,834,Mississippi
ME,673,Maine
WV,617,West Virginia
ND,536,North Dakota
HI,504,Hawaii
VT,356,Vermont
SD,336,South Dakota
MT,183,Montana
AK,177,Alaska
WY,118,Wyoming
