"stateAbbr","applicantsCount","stateName","stateCode"
"AL","2044","Alabama","1"
"AK","177","Alaska","2"
"AZ","9630","Arizona","4"
"AR","3388","Arkansas","5"
"CA","116023","California","6"
"CO","6297","Colorado","8"
"CT","9943","Connecticut","9"
"DE","3503","Delaware","10"
"FL","20408","Florida","12"
"GA","24672","Georgia","13"
"HI","504","Hawaii","15"
"ID","875","Idaho","16"
"IL","34774","Illinois","17"
"IN","6381","Indiana","18"
"IA","2918","Iowa","19"
"KS","2743","Kansas","20"
"KY","2605","Kentucky","21"
"LA","2137","Louisiana","22"
"ME","673","Maine","23"
"MD","10630","Maryland","24"
"MA","24518","Massachusetts","25"
"MI","20754","Michigan","26"
"MN","9859","Minnesota","27"
"MS","834","Mississippi","28"
"MO","7921","Missouri","29"
"MT","183","Montana","30"
"NE","2002","Nebraska","31"
"NV","1293","Nevada","32"
"NH","1893","New Hampshire","33"
"NJ","47992","New Jersey","34"
"NM","1023","New Mexico","35"
"NY","54579","New York","36"
"NC","18656","North Carolina","37"
"ND","536","North Dakota","38"
"OH","16231","Ohio","39"
"OK","1988","Oklahoma","40"
"OR","4585","Oregon","41"
"PA","23184","Pennsylvania","42"
"RI","2445","Rhode Island","44"
"SC","2908","South Carolina","45"
"SD","336","South Dakota","46"
"TN","5590","Tennessee","47"
"TX","67602","Texas","48"
"UT","2761","Utah","49"
"VT","356","Vermont","50"
"VA","18710","Virginia","51"
"WA","22414","Washington","53"
"WV","617","West Virginia","54"
"WI","7003","Wisconsin","55"
"WY","118","Wyoming","56"
