year,Revolutionary Armed Forces of Colombia,Fulani Militants,Liberation Tigers of Tamil Eelam,Communist Party of India - Maoist,Lord's Resistance Army,Al-Nusrah Front,Al-Qaida in the Arabian Peninsula,Al-Qaida,Al-Qaida in Iraq,Tehrik-i-Taliban Pakistan,Al-Shabaab,Boko Haram,Islamic State of Iraq and the Levant,Taliban,Other,Unknown
2000,256,0,342,0,30,0,0,19,0,0,0,0,0,0,2517,1253
2001,133,0,164,0,36,0,0,2995,0,0,0,0,0,153,3078,1174
2002,335,0,3,0,699,0,0,100,0,0,0,0,0,5,2823,828
2003,132,0,23,0,201,0,0,73,0,0,0,0,0,86,2134,620
2004,65,0,24,0,193,0,33,28,69,0,0,0,0,192,3061,2046
2005,131,0,75,45,80,0,0,29,806,0,0,0,0,293,1657,3179
2006,59,0,684,108,23,0,4,20,99,0,0,0,0,476,1736,6152
2007,55,0,405,27,15,0,0,63,869,14,135,0,0,745,2483,8021
2008,34,0,275,163,322,0,0,41,416,324,112,0,0,750,2134,4522
2009,91,0,143,500,680,0,6,0,258,658,240,304,0,683,2013,3695
2010,53,13,0,722,153,0,178,0,223,863,206,72,0,627,1331,3278
2011,40,0,0,329,20,0,408,1,257,634,294,322,0,811,1359,3717
2012,159,6,0,25,0,303,963,0,917,974,706,1227,0,2574,2068,5397
2013,106,66,0,86,0,695,370,0,414,728,737,1713,1439,2714,3104,9899
2014,88,1230,0,72,12,765,866,0,0,780,1777,7093,9326,4095,7465,9763
2015,48,572,0,94,34,924,360,0,0,368,1586,6299,8420,5215,7998,6504
