year,Unknown,Other,Fulani Militants,Communist Party of India - Maoist,Revolutionary Armed Forces of Colombia,Liberation Tigers of Tamil Eelam,Lord's Resistance Army,Al-Nusrah Front,Al-Qaida in the Arabian Peninsula,Al-Qaida,Al-Qaida in Iraq,Tehrik-i-Taliban Pakistan,Al-Shabaab,Boko Haram,Islamic State of Iraq and the Levant,Taliban
2000,1253,2517,0,0,256,342,30,0,0,19,0,0,0,0,0,0
2001,1174,3078,0,0,133,164,36,0,0,2995,0,0,0,0,0,153
2002,828,2823,0,0,335,3,699,0,0,100,0,0,0,0,0,5
2003,620,2134,0,0,132,23,201,0,0,73,0,0,0,0,0,86
2004,2046,3061,0,0,65,24,193,0,33,28,69,0,0,0,0,192
2005,3179,1657,0,45,131,75,80,0,0,29,806,0,0,0,0,293
2006,6152,1736,0,108,59,684,23,0,4,20,99,0,0,0,0,476
2007,8021,2483,0,27,55,405,15,0,0,63,869,14,135,0,0,745
2008,4522,2134,0,163,34,275,322,0,0,41,416,324,112,0,0,750
2009,3695,2013,0,500,91,143,680,0,6,0,258,658,240,304,0,683
2010,3278,1331,13,722,53,0,153,0,178,0,223,863,206,72,0,627
2011,3717,1359,0,329,40,0,20,0,408,1,257,634,294,322,0,811
2012,5397,2068,6,25,159,0,0,303,963,0,917,974,706,1227,0,2574
2013,9899,3104,66,86,106,0,0,695,370,0,414,728,737,1713,1439,2714
2014,9763,7465,1230,72,88,0,12,765,866,0,0,780,1777,7093,9326,4095
2015,6504,7998,572,94,48,0,34,924,360,0,0,368,1586,6299,8420,5215
