year,Revolutionary Armed Forces of Colombia,Al-Qaida,Fulani Militants,Lord's Resistance Army,Al-Shabaab,Boko Haram,Liberation Tigers of Tamil Eelam,Communist Party of India - Maoist,Tehrik-i-Taliban Pakistan,Taliban,Al-Nusrah Front,Al-Qaida in the Arabian Peninsula,Al-Qaida in Iraq,Islamic State of Iraq and the Levant
2000,256,19,0,30,0,0,342,0,0,0,0,0,0,0
2001,133,2995,0,36,0,0,164,0,0,153,0,0,0,0
2002,335,100,0,699,0,0,3,0,0,5,0,0,0,0
2003,132,73,0,201,0,0,23,0,0,86,0,0,0,0
2004,65,28,0,193,0,0,24,0,0,192,0,33,69,0
2005,131,29,0,80,0,0,75,45,0,293,0,0,806,0
2006,59,20,0,23,0,0,684,108,0,476,0,4,99,0
2007,55,63,0,15,135,0,405,27,14,745,0,0,869,0
2008,34,41,0,322,112,0,275,163,324,750,0,0,416,0
2009,91,0,0,680,240,304,143,500,658,683,0,6,258,0
2010,53,0,13,153,206,72,0,722,863,627,0,178,223,0
2011,40,1,0,20,294,322,0,329,634,811,0,408,257,0
2012,159,0,6,0,706,1227,0,25,974,2574,303,963,917,0
2013,106,0,66,0,737,1713,0,86,728,2714,695,370,414,1439
2014,88,0,1230,12,1777,7093,0,72,780,4095,765,866,0,9326
2015,48,0,572,34,1586,6299,0,94,368,5215,924,360,0,8420
