year,Iraq,Syria,Yemen,Algeria,Afghanistan,Pakistan,India,Sri Lanka,Nigeria,Somalia,Sudan,Congo,Philippines,Russia,United States
2000,10,0,19,528,38,118,671,449,20,36,27,40,290,362,0
2001,9,0,2,624,174,109,658,194,3,3,13,15,154,228,3003
2002,10,0,4,615,74,105,593,3,28,6,588,16,125,512,4
2003,347,0,16,269,163,119,472,23,28,7,0,154,288,328,0
2004,2146,4,0,166,275,304,334,30,41,6,28,22,206,607,0
2005,3380,0,12,228,367,150,462,125,19,20,54,22,49,156,0
2006,4612,5,14,185,731,314,722,1012,254,22,484,23,60,57,1
2007,6648,0,24,279,1197,1406,626,410,82,408,317,72,115,55,0
2008,2863,18,74,249,1089,1184,763,352,72,436,205,319,220,95,2
2009,2583,0,47,204,1064,1487,774,201,316,381,77,824,152,141,18
2010,2071,0,345,109,1058,1695,812,2,117,295,81,118,155,231,4
2011,1864,163,461,25,1521,1655,484,0,447,344,193,50,127,160,0
2012,2688,876,1056,30,3521,2783,264,0,1504,775,60,288,210,161,7
2013,7038,1558,624,101,3696,2874,467,0,2013,646,220,150,432,148,22
2014,13075,3300,1348,37,5413,2412,490,3,7773,1581,546,366,472,67,19
2015,8831,3916,2373,21,6208,1606,387,3,5351,1389,210,367,444,21,44
