Group,Business,Government (General),Police,Military,Abortion Related,Airports & Aircraft,Government (Diplomatic),Educational Institution,Food or Water Supply,Journalists & Media,Maritime,NGO,Other,Private Citizens & Property,Religious Figures/Institutions,Telecommunication,Terrorists/Non-State Militias,Tourists,Transportation,Unknown,Utilities,Violent Political Parties
Al-Nusrah Front,8,13,11,86,0,0,2,2,0,10,0,0,2,47,13,0,10,0,2,3,0,1
Al-Qaida,5,9,3,12,0,3,2,1,0,0,1,0,0,12,3,0,0,1,2,0,0,1
Al-Qaida in Iraq,49,62,122,68,0,1,11,7,1,1,0,0,3,231,17,2,32,2,12,10,3,1
AQAP,19,133,105,398,0,6,18,7,0,5,1,2,1,75,7,0,49,3,0,13,35,16
Al-Shabaab,113,283,165,881,0,23,36,13,10,42,4,30,5,386,37,5,28,2,25,31,8,0
Boko Haram,95,134,235,206,0,1,3,76,0,5,0,2,7,802,144,34,10,1,39,41,0,4
CPI-Maoist,157,278,347,26,0,0,1,66,3,2,0,4,1,472,4,66,36,0,138,21,7,37
Fulani Militants,2,7,3,3,0,0,1,0,0,0,0,0,0,253,5,0,1,0,1,0,0,1
ISIL,161,106,422,613,0,2,8,13,2,43,0,6,17,1085,83,0,138,0,35,56,32,11
LTTE,17,69,99,124,0,2,7,9,2,4,8,5,0,140,16,0,8,1,44,6,5,15
LRA,7,7,3,8,0,0,3,4,0,0,0,2,11,177,9,0,1,0,8,0,0,0
FARC,169,137,189,141,0,8,4,7,10,9,2,6,0,196,11,6,1,4,106,33,186,0
Taliban,186,773,1876,951,0,27,54,127,7,19,2,71,7,1015,85,31,43,1,64,145,11,3
TTP,64,79,167,203,0,4,18,144,2,13,5,14,3,289,36,2,64,2,12,5,6,21
Other,2019,1945,2584,3935,23,104,312,424,27,242,42,116,98,5157,499,143,323,84,809,453,573,219
Unknown,4113,6156,7066,5798,8,134,613,1675,65,725,44,298,215,12728,1567,217,1026,59,1469,2148,937,585
